segment,mean_pcci,mean_tcci,mean_rci,mean_rsi,mean_pci,std_pcci,std_tcci,std_rci,std_rsi,std_pci,PCHI,TCHI,RHI,ReHI,PHI,MCSI,CVI,CTI,CRFI,CHS
Corporate,52.675132986,32.048464947,53.514285714,50.928571429,41.057142857,9.4049496385,12.80169443,15.2370833,19.486090807,1.1863075879,47.324867014,67.951535053,46.485714286,49.071428571,58.942857143,53.955280413,11.623225153,50,0,49.257467135
Retail,52.675132986,32.048464947,53.514285714,50.928571429,39.414285714,9.4049496385,12.80169443,15.2370833,19.486090807,7.1178455272,47.324867014,67.951535053,46.485714286,49.071428571,60.585714286,54.283851842,12.80953274,50,0,49.151634189
SME,52.675132986,32.048464947,53.514285714,50.928571429,40.085714286,9.4096603574,12.808106499,16.16136739,20.668120423,0,47.324867014,67.951535053,46.485714286,49.071428571,59.914285714,54.149566128,11.809450934,50,0,49.297936264
